iter	MultiClass
0	1.369315034
1	1.353581257
2	1.332432614
3	1.315002594
4	1.29988572
5	1.288978996
6	1.277793026
7	1.263515783
8	1.252435135
9	1.239129005
10	1.227585754
11	1.213246934
12	1.201544312
13	1.193615221
14	1.185799253
15	1.174719379
16	1.165356755
17	1.155776377
18	1.149040288
19	1.140936597
20	1.132833993
21	1.125405655
22	1.117597089
23	1.1089865
24	1.10191206
25	1.095325774
26	1.090104777
27	1.084061068
28	1.078933482
29	1.073847633
30	1.068141083
31	1.062605871
32	1.056638002
33	1.05227683
34	1.045929389
35	1.041189048
36	1.036158249
37	1.031783899
38	1.026724361
39	1.021831043
40	1.017982616
41	1.012610899
42	1.008012175
43	1.00342141
44	0.9994685036
45	0.9961012797
46	0.9918534773
47	0.9874353998
48	0.9846256781
49	0.9809282105
50	0.9780118378
51	0.973372425
52	0.9706539086
53	0.9670240005
54	0.9625566026
55	0.9579672891
56	0.9538992765
57	0.9506663385
58	0.9471273573
59	0.9427507754
60	0.9405355015
61	0.9370302372
62	0.9327363147
63	0.9290078992
64	0.9246649035
65	0.9209818013
66	0.9187351861
67	0.9153200768
68	0.912171154
69	0.9095911644
70	0.907587647
71	0.9042276675
72	0.9020449981
73	0.900323763
74	0.8972205565
75	0.8943057589
76	0.8912728572
77	0.889489441
78	0.8867307684
79	0.8837302909
80	0.8809452965
81	0.8779129899
82	0.875366086
83	0.873425286
84	0.8715590838
85	0.8687773445
86	0.8666552464
87	0.8645189186
88	0.8611443396
89	0.8592455213
90	0.857031663
91	0.8546268202
92	0.8517291568
93	0.8506911094
94	0.8471121667
95	0.8444621166
96	0.8421464008
97	0.8399567083
98	0.8377866091
99	0.835228047
100	0.8322645483
101	0.8298234013
102	0.8273348634
103	0.8254234585
104	0.8227818161
105	0.8213309608
106	0.8201719629
107	0.8180258055
108	0.8161890872
109	0.8144009199
110	0.8121087547
111	0.8099058521
112	0.8093577317
113	0.8066010781
114	0.8048735062
115	0.8023789962
116	0.8007765468
117	0.798599907
118	0.7964461743
119	0.7932552019
120	0.7914520809
121	0.7888070203
122	0.7866180925
123	0.7848651021
124	0.7833724417
125	0.7800211212
126	0.7778776657
127	0.775536311
128	0.7730947002
129	0.7708958679
130	0.7690630365
131	0.7674185926
132	0.7660140169
133	0.7648033044
134	0.7621773842
135	0.7596308823
136	0.7575587934
137	0.7557768107
138	0.754069211
139	0.7520088564
140	0.7495589346
141	0.7476166751
142	0.7464583393
143	0.7440258115
144	0.742521752
145	0.7411043961
146	0.7395041152
147	0.7376471325
148	0.7352341999
149	0.7335864601
150	0.7325219957
151	0.7308016659
152	0.7281245969
153	0.7265701598
154	0.7249304304
155	0.7221413389
156	0.7202975306
157	0.7186437101
158	0.7166957033
159	0.7141583585
160	0.713074135
161	0.7118254071
162	0.7099153664
163	0.7086766725
164	0.7064523945
165	0.705070369
166	0.702945041
167	0.700646191
168	0.6996178686
169	0.6986374774
170	0.6973329686
171	0.6954195386
172	0.6933596937
173	0.6913876808
174	0.6886258178
175	0.6871877729
176	0.6857699282
177	0.6840814201
178	0.6815374588
179	0.6800818818
180	0.6787224876
181	0.6770095923
182	0.675100765
183	0.673082959
184	0.670885248
185	0.6686237753
186	0.6669819829
187	0.6657385771
188	0.6642241358
189	0.6621743892
190	0.6604778323
191	0.6593414396
192	0.6579419329
193	0.6555837778
194	0.6538475406
195	0.6519463018
196	0.6502379445
197	0.648856764
198	0.6471854608
199	0.6452940617
200	0.6433378963
201	0.6418928687
202	0.6405443128
203	0.6393740185
204	0.6368899081
205	0.6353832887
206	0.6339902096
207	0.6322596848
208	0.6310670765
209	0.6294876469
210	0.6282882204
211	0.6265578443
212	0.6248932236
213	0.6230367043
214	0.6211942542
215	0.6195043911
216	0.6172591484
217	0.615380862
218	0.6135665484
219	0.6121226006
220	0.610311853
221	0.6085284761
222	0.6068546682
223	0.6050451971
224	0.6040447634
225	0.6026232132
226	0.6012762052
227	0.5994107307
228	0.5977685178
229	0.5964724468
230	0.5950866264
231	0.5939012812
232	0.5932305433
233	0.5917858967
234	0.5908911414
235	0.5896448176
236	0.5881755848
237	0.5862350835
238	0.5848368608
239	0.5833356762
240	0.5817582347
241	0.5808796365
242	0.5792174304
243	0.5775396673
244	0.5757785692
245	0.5745927748
246	0.5733551424
247	0.5724177433
248	0.571225064
249	0.5694122322
250	0.5677724876
251	0.5668237927
252	0.5654302389
253	0.5638839859
254	0.5626623726
