iter	Passed	Remaining
0	36	29478
1	68	27321
2	107	28605
3	142	28378
4	174	27683
5	205	27195
6	231	26209
7	260	25802
8	295	25952
9	334	26460
10	377	27059
11	411	27047
12	453	27427
13	481	27044
14	511	26770
15	544	26691
16	583	26873
17	611	26572
18	647	26600
19	677	26439
20	709	26330
21	739	26141
22	768	25962
23	802	25937
24	830	25735
25	860	25615
26	890	25497
27	920	25388
28	952	25319
29	980	25160
30	1015	25187
31	1051	25246
32	1079	25089
33	1110	25023
34	1140	24938
35	1178	25011
36	1208	24917
37	1239	24852
38	1270	24785
39	1310	24904
40	1342	24860
41	1377	24865
42	1408	24790
43	1445	24829
44	1473	24722
45	1506	24692
46	1544	24751
47	1579	24747
48	1607	24632
49	1653	24798
50	1685	24757
51	1721	24762
52	1759	24799
53	1788	24708
54	1825	24724
55	1852	24614
56	1882	24538
57	1914	24489
58	1950	24492
59	1983	24465
60	2014	24408
61	2049	24396
62	2080	24343
63	2114	24311
64	2163	24468
65	2199	24457
66	2233	24438
67	2265	24383
68	2307	24444
69	2338	24388
70	2374	24381
71	2406	24336
72	2435	24252
73	2461	24152
74	2501	24178
75	2542	24223
76	2576	24192
77	2604	24108
78	2636	24065
79	2685	24165
80	2717	24121
81	2746	24048
82	2775	23973
83	2806	23921
84	2834	23840
85	2873	23860
86	2905	23808
87	2937	23769
88	2963	23675
89	2992	23608
90	3019	23529
91	3046	23444
92	3075	23381
93	3107	23338
94	3138	23291
95	3165	23216
96	3197	23171
97	3235	23174
98	3268	23145
99	3303	23122
100	3331	23055
101	3359	22990
102	3387	22921
103	3415	22855
104	3437	22755
105	3468	22711
106	3504	22696
107	3532	22630
108	3562	22587
109	3592	22531
110	3616	22448
111	3643	22380
112	3674	22338
113	3710	22327
114	3746	22318
115	3774	22257
116	3805	22217
117	3845	22223
118	3879	22203
119	3910	22161
120	3949	22161
121	3988	22163
122	4020	22131
123	4068	22182
124	4106	22177
125	4138	22138
126	4165	22072
127	4194	22021
128	4222	21964
129	4259	21951
130	4293	21924
131	4329	21909
132	4356	21848
133	4385	21794
134	4413	21740
135	4450	21728
136	4479	21676
137	4511	21640
138	4538	21581
139	4565	21523
140	4595	21478
141	4624	21431
142	4654	21384
143	4679	21316
144	4707	21264
145	4737	21220
146	4764	21165
147	4792	21110
148	4823	21072
149	4855	21041
150	4894	21035
151	4922	20984
152	4949	20929
153	4975	20872
154	5001	20813
155	5032	20774
156	5059	20720
157	5087	20672
158	5140	20723
159	5178	20713
160	5223	20731
161	5276	20778
162	5321	20796
163	5362	20794
164	5399	20781
165	5441	20783
166	5475	20755
167	5509	20727
168	5540	20687
169	5568	20636
170	5598	20594
171	5639	20589
172	5667	20541
173	5695	20490
174	5716	20416
175	5743	20361
176	5781	20351
177	5818	20332
178	5858	20324
179	5885	20272
180	5914	20226
181	5946	20192
182	5985	20181
183	6017	20146
184	6047	20102
185	6072	20045
186	6101	20002
187	6131	19961
188	6166	19935
189	6196	19893
190	6229	19863
191	6257	19815
192	6288	19776
193	6313	19722
194	6361	19736
